sentence,platform,source_id
The fully illustrated instruction manual is supplemented by a copy of &#34;The Sky X&#34; astronomy software that turns your PC into a virtual planetarium.<br />My kids love to use this telescope it is so easy to use and understand.,amazon,B001TI9Y2M
This is a bad ass center channel bose  Has nothing on this baby.,amazon,B00009WBYL
The color is bright red and quality is very good.,amazon,B015JHHDJE
The camera Ethernet cables connect to the base station easily and show up in the client software.<br /><br />I was using a PC with Windows 10.,amazon,B07Z51DX53
Only issue is the Fresh Alkaline batteries (3) different high end Alkaline sets of 4 batteries only last 2 months in my New Gen Siren.,amazon,B08B3JFRHH
Are others having this problem?,amazon,B00275G08W
"I don't do anything fancy with it, haven't tied into Roku or Hulu or tried to sync with other units in the house, just record my favorites for watching in the living room and it works great for that.",amazon,B006L8TX94
"They stay cool and rubberized coating on the handles help to give a good, strong grip, even when your hands are wet.",amazon,B001CEPYVS
The PC comes with Windows 11 pre-installed and it launched flawlessly when I turned the PC on.<br /><br />There are 2 limitations for me.,amazon,B09QKPJFTQ
"It’s not quite a plug-and-play operation, but pretty close.<br /><br />The enclosure is metal and feels pretty solid.",amazon,B00GYR752E
"They're easier to find now, and the boxes are attractive enough that I can stack them on the shelves.<br /><br />The only problem I have is that while there's a small holder for a label, no blank labels are included.",amazon,B002V919DK
One thing I wasn't thrilled about is that the only monitor input to the switch is HDMI.,amazon,B01BNDK2BY
"The ring is fantastic after a few problem, was my router I had to change and then work like a charm, the Ring support team are very helpful I Thanked them for being able to resolving all the issues.",amazon,B01DM6BDA4
Instax Mini film is pretty inexpensive and easy to find.,amazon,B091D8C7RC
They kind of do everything pretty ok but nothing great.,amazon,B095VWWY4C
There seems to be a copyright issue.,amazon,B00J9C2JDG
Although the charge stays for a long time so it's not like you're going to be swapping them out a lot.<br /><br />So for the known issue.,amazon,B01M9EURM1
I had to take it down.<br />The main problem is that it's 22 inches long with hanging holes on both sides of the unit.,amazon,B01A0N0RAO
Very basic and average for listening to music via Bluetooth from a tablet or phone.,amazon,B08XYFSND4
It’s a small flash so it’s easy to carry with you with a micro 4/3 camera.,amazon,B071CV11QP
That means I have to eat some recent words along the lines of there is no bluetooth speaker that is truly audiophile quality.,amazon,B017WOOYE4
We use these to keep the air flowing on our refrigerator on our sailboat.,amazon,B074TV9LQV
Put it in my android phone without a problem.,amazon,B003WGJYCY
"The RapidRecap feature is neat, and I like that it connects to my Wifi.<br /><br />We had no problem setting it up - it went quickly.",amazon,B00RCYEL7U
I purchased this hub because my employer's laptop uses USB-C ports and I have a couple of USB 2/3 devices I need to connect.,amazon,B08SVZFFPP
"Many other kits sell the scaffolding and the cloth separately or if they are sold together, are more expensive.",amazon,B0925XYVGN
"I've got some fingerprints on the lid/cover, but doesn't look bad.<br /><br />No dvd/cd player.",amazon,B07R7S1Y59
"The only reason didn't return it because my daughter wanted it as a purse (which is what it is, not a messenger bag).",amazon,B012FXRAGG
The inside is very soft and the outside is easy to clean.,amazon,B008PWUSQQ
I drilled a hole in this crappy drive and tossed it in the trash.,amazon,B07X46C64N
Build quality is solid and will take a beating.,amazon,B000UD4O8Q
My son got this to of protect his Kindle.,amazon,B072J5CDB4
Use this to mount a small 18 inch monitor to a sheet rock wall with no supports.,amazon,B013W5YFQY
I'm not an audiophile.,amazon,B003EM6AQE
Old filters can be challenging to remove due to fineness of threads and this set fully eliminates that issue.,amazon,B09BJ2M371
"For me, it is a step down in performance from the WNDR4500.",amazon,B00F0DD0I6
You cannot easily curve this wire behind your TV or Amp or other devices.<br />It needs about 4 inches of wire for a 90-degree turn.,amazon,B07GH1XXGW
I can now watch tv without saying what!,amazon,B086YC5HXW
Even resetting it via the admin console doesn't do the trick.,amazon,B0762QT7S6
Exactly what I needed to transfer photos from cell phone to computer; where I live the email DOES NOT work on my Tracfone and had my vacation photos to load up.,amazon,B0012Y02CE
I am having to constantly re-adjust them.,amazon,B07ZYQD7YJ
"Price is right, too!",amazon,B009S2CXLK
But now I have a new issue: one of the speakers rattles when bass is applied.,amazon,B01954Q5BO
They are very soft and comfortable on the ear and I would imagine they would be just fine for extended use.,amazon,B0759QFPQ3
Be sure to format before usage.,amazon,B01DOB6Y5Q
I purchased this to use in school as a smaller alternative to a laptop.,amazon,B00R4OXKPW
"I charge my phone flat on my desk top, so it's not an issue for me, but if you want to take complete advantage of this station's features you should measure your phone's thickness in its case.<br /><br />Bottom line: I am totally pleased with this station despite some of the noted limitations.",amazon,B00LORB232
I would equate the listening experience to being in a hotel room and the room 4 doors down is playing music through bad speakers.,amazon,B00BWUCX8E
"Literally... snapping, clicking and popping.",amazon,B076DK947N
The only issue is that it is a hassle to charge it.,amazon,B0992CPLT9
I also ordered the Jelly Comb Mouse and love it as it doesn't make all that clicking noise.,amazon,B00MK24EUI
I think it's silly that a wireless thing is running better than a cat 5 cable connection but it absolutely is!,amazon,B0B5YPK9L1
"Anyway I’m trying to scale down my inventory here at home, but the problem I have is that every time I try to get rid of some of those cables I end up chickening out because I worry about what happens if I need one and don’t have it.",amazon,B09MQ2457Q
Maybe it was just a fluke.,amazon,B000LRMS66
Cons: will not stay in my ear eventhough I tried all the ear buds (I think is  a personal issue for that I had issues with other ear buds) But that's my issue not the products.; problem staying connected eventhough my phone was in my hand or back pocket.,amazon,B01G8JO5F2
The problem is that the C port didn't even fit into the C port on my phone--even though I took the case off my phone.,amazon,B06XC1WGQR
I used this to make my TV bluetooth friendly so I could use my bluetooth headphones with it.,amazon,B01B4W40VC
But it's an alright kindle.,amazon,B00S5HFVGI
"Great product, does what it says.<br />A thing that I didn’t know until the package arrived is that it is made of some dort of softer rubber material and slightly bendable.",amazon,B00P31BMHG
There's a little pocket within the main zippered compartment.,amazon,B010CC96MS
Eventually I will figure out how to increase the speed downstairs but it's really a non-issue for now.,amazon,B00Z0V2NQ8
"Of course, if you want to get back to your laptop and enjoy the external speakers, repeat steps 3 & 4 and change back to DIGITAL.",amazon,B004M8SBOS
You can select alarms.,amazon,B0787W458R
"By the way this is the second time I bought this product, because is awesome in range and sound quality.",amazon,B01G8JO5F2
It seems to be more like a voice recorder in terms of playback quality and not optimized for playing music.,amazon,B09Y91TT2B
I used the video on YouTube which made the install so simple.,amazon,B013JZCAZK
"But let's face it - Windows 7 is still too outdated now to go back to, so there really is no decent alternative.",amazon,B07MKLLM1Y
"The FM has a terrible hiss on all stations, as did the original unit I received.",amazon,B0788BQ2SG
My husband tried them on and he has a big head.,amazon,B07PC7JKSB
These work great for my uber/lyft vehicle.,amazon,B07KDTK311
Took some serious head shaking and still didn't fall out!,amazon,B09JZ32TCR
"Cable box, appletv and PS3 seem to work fine thru this.",amazon,B003L14WB8
"I only have 2 complaints:<br />1) Seems cheaply made for the price charged.<br />2) I wish it was CAT7 or higher, but CAT6 will do for now.<br /><br />With that in mind, these were the perfect solution to my tight space issue.",amazon,B09D32BM8P
I don't have a lot of space on my desk and I use a separate keyboard when using my laptop so it works perfect as my laptop is up on the second level of my desk and puts the screen in right position for looking straight at the computer.,amazon,B08TWLGJM6
This time from Amazon.,amazon,B00CHKQ28U
"Finally, one week after their technical support guy wrote back and gave me an answer unrelated to my question and problem.",amazon,B001C4EUFE
Case blemishes aren’t a concern for me as long as the typing experience isn’t hampered.,amazon,B01MSNM6YG
Then we purchased this one and it have everything we needed.,amazon,B07K9PMK7F
Bought it for the long power cord.,amazon,B0969Y3TP6
The light cover feels like it could be easily broken.,amazon,B08BFT3Q1Z
I keep an old iPad around JUST to set up smart things.<br /><br />-aside- you know what would be smart? a smart thing that only feeds the 2.4 part of your network to you as a connection choice.,amazon,B07WML2XTD
"Had to buy a new one, different brand.",amazon,B00RXNUR8M
Good bag for the price.,amazon,B00NAAW3QQ
Features pretty much the same.<br /><br />Out of the box the image using home mode was basic due the fact that all 4k TVs are set to automatic light detection and shifts the image to 'energy saver' slightly dimming them.,amazon,B079TSTB5V
"As soon as I would pick up the cordless phone, online access would be gone.",amazon,B000LIFB7S
I can't say it is especially fast but adequate for my uses.,amazon,B06XT2VLCT
"If you do not have such knowledge, I'dl look it up online as the manual is in tiny tiny print / pictures which will be hard enough to see, let alone understand.",amazon,B00VM5I3PG
I pulled in an 11 year old for assistance.,amazon,B09L5PW1D6
"We did have to get some unexpected extras to get the full enjoyment out of this: a 150in projector screen (the project goes up to 200), speakers (because the built-in one just isn't loud enough for outside), and a tripod.",amazon,B089NHQZGD
I got it mounted on the wall sort of out of sight.,amazon,B006I0KL6Y
I've got 4 things plugged into this particular wall tap surge and it's been nothing short of amazing.,amazon,B071NGLS26
"Rename the file: replace ""current"" with any word you want, as long as it's not ""current"") so that it is names ""anyword.gpx""<br />d.",amazon,B005DIBHA6
These were literally an impulse buy.,amazon,B06W9FHQF4
As other reviewers stated there is an issue with the fm transmitter strength leading to static.<br /><br />I found there is stronger FM signal if the device is installed away from electrical components.,amazon,B007NEBBA4
This pair is probably the best I've tested for taking calls.,amazon,B08QZGH5PC
Would not purchased a device without protection.,amazon,B012Q04WVE
Did not hold up long.,amazon,B0144AAIWQ
Clear picture and clear sound.,amazon,B08GWBBH4R
"After doing research, I finally was given this information and was finally able to successfully mount my bad boy server.",amazon,B001HBCT1Y
But I got around that by painting the front of my camera case lol.,amazon,B0813Y9N6C
"But that's a very, very minor issue and not worth taking a star off my review over.",amazon,B075JFDHZG
Google Play apps aren't compatible either.,amazon,B01NBIKAXU
You can’t image how excited I am to finally install one.,amazon,B017SJKXL6
"I knew if they were doing great I would write a review after a few weeks.<br /><br />Cons - the ear piece can bend around your ear, so for ME* when I’m running I have to have the chord around the front in order to stay on when it’s windy or I’m running fast.",amazon,B01G8JO5F2
I wouldn’t say it is terrible but I wouldn’t say it is worth the price they want for it.,amazon,B00008Y0VN
I’m afraid to use them because our clothes will smell so bad.,amazon,B09JWLSG1H
Only thing provided was the more commonly used dc adapters to use on a variety of routers.,amazon,B0B518QX3G
This is spring loaded.,amazon,B07SPJ5SHK
Perfect for a phone or tablet or 3DS.,amazon,B07XDCZ9J3
But it happens so often that my controller can't find the unit.,amazon,B005441AJC
"However, you can get away with 8gb of ram for most things due to how ridiculously optimized the Mac OS is.",amazon,B00Q0ZB3PU
"When the resolving problem occurred, I simply put the Telco's DNS resolver IP's back in the configuration.<br /><br />Please note: Do not forget to put in all the available firmware updates.",amazon,B00PDLRHFW
"The corners have a low profile, and it's almost flush with the edges of the ipad.",amazon,B0731FSRG7
I ran memtest and it said the memory was bad.<br /><br />HOW DOES MEMORY GO BAD?,amazon,B018OB5RB8
"That is the least of their worries, though, if their customer service is that terrible.",amazon,B000AMO2H0
Have been using for over 6 months and this has not failed.,amazon,B013JZCAZK
The speakers synced up to the device lag behind the TV by a few syllables makes things kinda annoying.<br /><br />Quick update it seems to hijack anything Bluetooth by just screaming into the either.,amazon,B0793ZT129
Dislike it moves to slow then sometimes don’t work,amazon,B083G7B5YX
"Easy to set up, no issues , holds great memory",amazon,B07VTWX8MN
This is a great device that will allow your kids to become more familiar with computers in a way that's supervised and safe.,amazon,B09GYBXNSY
Good voice recognition and better sound quality than prior models.,amazon,B07XKF5RM3
"I purchased these to use in a server room for cable management, specifically for managing UPS power cables.",amazon,B0723FPB47
Great product - has saved a couple falls already.,amazon,B00W4RQ146
"These suck, I bought a pair because of the reviews.",amazon,B018APC4LE
Used this to upgrade a six year old Toshiba laptop.,amazon,B00A1ZTZNM
I really had high hopes for this but I immediately came upon an issue.,amazon,B0828Y3T2T
"I use it while in the garden or the office and the quality of the sound, range and charge time are outstanding.",amazon,B018XI3ASO
I like the larger size.,amazon,B07K1RZWMC
I love the colors and sturdy fit of this cover for my Kindle Fire HD 6th generation.,amazon,B08JY754V6
I had an issue transferring all books to it from old device.,amazon,B01AHB9CYG
We got it as a gift and didn't use it for months after it was bought.,amazon,B001TOD3KU
Purchased as a replacement for original cord Samsung galaxy 8.9 tablet.,amazon,B00JLUKG2W
Improves sound with Sonos Arc - overall very happy with purchase from Amazon Renewed.,amazon,B08KHW1W8M
I have to tell iphone to switch call audio to phone and then back to the earbuds to get them working again.,amazon,B07X9VG6ZJ
The connection with the TV VGA cable was choppy had to trash it.<br />But don't go by my review - it may be worth it for other PCs.,amazon,B00G9UWP94
But I kind of hate that it’s not hard enough on the sides.,amazon,B094QWF8PH
Adding this to your existing PC is not fun.,amazon,B08TLZ32B6
I was really excited to use this mouse for my new chrome book amd the USB part did not work.,amazon,B07T8HFPDM
The quality is about equal to having your phone on speaker and walking 5-10 feet away to talk.,amazon,B00K4NK36E
This works but I can barely hear the audio even though both my phone and car volumn are turned up high.,amazon,B01LXFKSNA
The audible fan is of the PlayStation only.<br /><br />Will update if the cooling fan fails or breaks in anyway.,amazon,B07NNQXTQT
It's fast and has worked well for him so far.,amazon,B07YCR1S3L
The way the stylus stores in the bottom of the board is a better design feature than the boogie boards.,amazon,B01ICP1ISC
If you have an NFC-enabled phone like my Galaxy Note 3 it's even simpler.,amazon,B00LX1AEYW
"This is going to sound weird,  but he had a really bad infection in his ear canal that wouldn't go away.",amazon,B09M3QT2ZJ
In general this is a very good wrist strap for those of us who hate shoulder straps.,amazon,B07RKLY3X9
The workmanship on it is good.,amazon,B07YYWK432
I'll buy more when needed.,amazon,B011JGZQL6
"It may have just been a clash of brands and standards, because every time I tried to switch to using the TV speakers in the options, it would shut off my Pioneer receiver instead.",amazon,B08QXHYQFQ
If you keep them down on the desk the sound will seem to be coming from the desk and can impact the overall impression.,amazon,B073ZLJHY4
I read where others had the same issue but I took a chance hoping it was one that was a lemon.,amazon,B07DG833MZ
You will def get what you pay for.,amazon,B09MH42ZP1
"There are some addons that are bad, but Kodi itself is not illegal or malware in any way.",amazon,B07F1FTJ7R
It keeps my nook protected and the stand  makes hands free reading possible.,amazon,B00AQ9F1I6
"In the nine months since purchasing this cable I have used it often to move large file systems from my work to personal computers (and even a Chromebook.) Never a problem, and the connections are as solid as the day it arrived.",amazon,B00HJZJI84
"Truly, just the thought of ones intimate space becoming violated- makes these worth their weight in gold- especially when the worst part of all this- these video streams or, sessions can make their way to the World Wide Web.",amazon,B08B3KD42F
"I've never had a problem with them falling out.<br /><br />Sound quality is pretty good out-of-the-box (clear and loud), but a little thin at the higher frequencies (especially noticeable with acoustic music).",amazon,B07MC1QCHW
Has a very powerful magnet to keep connected to adapter.,amazon,B00W5Q06VU
love the space saving concept of the stand.,amazon,B09NFQML72
"I usually have it in my bedroom and when I have it loud enough, I can hear the music clearly in my bathroom while I'm showering.",amazon,B0748N1BZD
But on a waist no problem!,amazon,B0002OD3JY
I also think $300 is a good price for this type of camera.,amazon,B006K551HQ
Using the Alexa app for Music is extremely limited.,amazon,B0863TXGM3
I only use it for reading my Bible app and devotionals/books.,amazon,B07WGL828F
"En actualizaciones de verían, colocarle español",amazon,B01NBTFNVA
I mean it's a surprising amount.,amazon,B0B5N7DCK6
"I have used SanDisk memory cards for years and can recall only one of them going bad, that was several years ago.",amazon,B00MBFPT3A
"Longer would have been better, but not too bad.",amazon,B001BMKNZI
Quite satisfied for my uses.,amazon,B081QSHG1K
I can say that I am more than happy with the product and will update the review once more time has passed.,amazon,B000092TT0
"For a small office, this works fine.",amazon,B074VB8VY4
It's perfect for my apartment and I want to get a second one.,amazon,B076H3SRXG
It is extremely slow.,amazon,B08YYFLVFW
"Everything plugged in solid, not too loose or tight.",amazon,B00RXNVKOC
"I can order from Amazon, check on orders, and receive notification of delivery.",amazon,B07FZ8S74R
I have nothing bad to say about these.,amazon,B07XJ8C8F5
"I hadn't previously tried V-Moda headphones, instead I'd mainly relied on my trusty AKG and Bose over the ear headsets.",amazon,B01MQEL094
"If you want to connect your iPad to the projector you'll need an iPad to HDMI cable.<br /><br />The projector comes with a manual,  power cord, AV cord, and a remote and it's actually very easy to set up, focus, and start using.",amazon,B015R22PVM
The cover also feels very sturdy and well made.<br /><br />There is one issue I have with this case — and that is that it is terribly difficult to remove.,amazon,B0B34FLYK2
The design is what attracted me and the ridges so that you can make it like a stand sideways.,amazon,B00P682UAE
Dell always has made great products and this headset is pretty great.,amazon,B06XHJB3XT
"It just seems to drain battery charge, even when it's supposedly not on.",amazon,B01G8JO5F2
Talked to TDK team on the problem.,amazon,B00JUINWSA
Been using around 7 months and haven’t had an issue.,amazon,B0819PGLMJ
Not much to say about this cable.,amazon,B07DTRYMQQ
"The 1 terabyte hard drive has a handful of gigs, maybe 30-50, and yet it had no problem loading this page.<br /><br />So yeah.",amazon,B07PZQ9LSN
I was about to return this back to Amazon because when I got it during 2017 Black Friday it did not cool my cpu.,amazon,B01M7XI50R
"The fit isn't really tight and is a little loose in some areas, but with some tweaking, you can make it more uniform.<br /><br />My husband has been using it more than me and he does have one complaint: it makes the buttons harder to press due to its thickness.",amazon,B00RW3GBL0
First time I needed to file a claim for an item that didn't turn into a hassle.,amazon,B002I007EY
The large plastic tightening handle is spring-loaded so you can pull outward and reposition the handle as needed if it hits anything.<br /><br />A shoe-mount flash like a Nikon SB-800 or similar on-camera flash is gently but securely held in place in vise-like padded jaws.,amazon,B00JAAXH1A
My son in law installed this product for me.,amazon,B01LDOZL28
These are really nice for what they are designed for.,amazon,B007JNWCDE
That is not an issue if you are listening to this close in like on a night stand or desk.,amazon,B0154EA3DK
Perfect for a laptop or device.,amazon,B08W43825W
I can’t return it and the irk of trying to get the warranty is too much.,amazon,B09WQPRMLF
Because that's not what this is built for.,amazon,B000ASTKWQ
"The 22"" TN panels have gotten a bad rap due to their poor performance, most of them have  issues with bad color banding and lots of light bleeding at the edges.",amazon,B000P6MOG2
"It takes five, slow response time, manual interventions to get the image on the phone.<br /><br />Impractical.",amazon,B0B58XNVP6
"I would use this for no more than charging a phone, but never for a higher power device (irons, heaters, etc).<br />Also, be aware that even when the power strip appears to provide a ground connection, there is no ground on the male plug, so no ground.",amazon,B097C42349
I do not know whether the problem is the method of calculating the capacity (mAh) or over-stated capacities by the manufacturers.<br /><br />ORIGINAL REVIEW (8/4/2019):<br /><br />But I did not find my 3 AA Ni-MH batteries charged in a short time this week; they took several hours.,amazon,B07QXP6XT3
This is a good quality tripod that I use to support my cameras to take pictures.,amazon,B00XI87KV8
"I still found it unimpressive.<br /><br />If you want something cheap enough you're okay with it breaking or getting lost, this is fine.",amazon,B09BTPNNGT
"If you are purchasing for a camera, please note: this warranty will very likely be a one and done for you, depending on the camera.",amazon,B00I4DXBO2
Traffic support is a great asset and now comes free with this device -- I've been saved from many a jam and not have to be tuned into the radio for traffic reports on the 8's.,amazon,B00166F8YU
I also noticed that the speed of the processor is incredible.,amazon,B0791TX5P5
"Works great, and sounds great.",amazon,B01LZRFI5C
"We have used this for light gaming, mostly mine craft and it handles that with no problem.",amazon,B00ANG3T1S
That is where this hub comes in handy because I can have it on my desk and plug in my cell phone any time I need to and also have all of my other things plugged into it as well.,amazon,B01M8I8KMH
This should help your stylus last a very long time.,amazon,B086451KF8
Here's what I have:<br /><br />GIGABYTE GA-970A-D3 AM3+ AMD 970 SATA 6Gb/s USB 3.0 ATX AMD Motherboard<br />AMD FX 4350 CPU<br />GeForCE GTX 960 SSC GPU<br />8GB 1866 DDR RAM<br />2x Western Digital Caviar Blue 500 GB SATA III 7200 RPM<br />ASUS DRW-24B1ST Optical Drive,amazon,B004GL9NVG
"I thought they were 8"" tall given that they are refered to as ""bookshelf"" speakers.",amazon,B000OG6I6A
"This wouldn't be an issue if the touchpad could replace my mouse, but it really can't.",amazon,B005DSPLC6
I am very pleased with my new headphones.,amazon,B013XBI3C4
The nubby texture in the rear is very unattractive and this is not a cover I would have purchased had I seen and touched it in advance.,amazon,B00CNMYP0E
Not worth the money at all not to mention I actually lost money on this since they didn’t fully refund me.,amazon,B07T8KMGRF
Got her these not to load and she can’t tell the difference.,amazon,B076HDSDC3
"Turns out, Amazon doesn't carry the latest and best version of my favorite game.",amazon,B07PC8223G
My phone immediately saw them and I was able to pair and connect them without any issue at all.,amazon,B0745JLDR1
Nope the bass just sucks now the music sounds hollow without it.,amazon,B01G8JO5F2
They told me that it may take up to 3 days for a response.,amazon,B08P4YG1VQ
Things I like to set were the power on auto-record.,amazon,B00N6AWQ5I
"Only issue is that it does not attach firmly, but it is good enough for my needs.",amazon,B00G6PM2K4
I’ve used them for several days. . . several hours each day. . . without a problem.,amazon,B01L1IIEKM
It doesn't usually sear well.,amazon,B0097JLQVC
Can't go wrong with Samsung MicroSD cards.,amazon,B01DOB6YQA
I decided to return my printer and buy a wireless instead of using another cable across my place.,amazon,B000IZECH4
"Instructions for assembly are decent, but could be improved.",amazon,B01AI2YGK4
"This product produces stable 5V power, but the high-frequency noise it makes is so loud that if I spend more than five minutes in the same room with it I start to get headaches.",amazon,B07H9W6MCH
The sound in these headphones is awesome!,amazon,B09H5MWT89
I hate having anything pushing into my ear canal but the small huds work great and are very comfortable!,amazon,B01G8JO5F2
"Very helpful in reducing the strain and pain of fingers, arms, and hands.",amazon,B01KR1C5PY
"After just one use, the plug was broken and completely unusable.",amazon,B00J7V87GM
"The crash of World of Tanks occurs due to client (program) issue, which was admitted couple days ago by the developer's support folks (they're still working to resolve this, with me).",amazon,B009WIW87E
"Their support team tells me they'll ship it whenever they feel like it.<br /><br />Beyond this problem of a bad connection and poor support, I have issues with the actual device when I can get it working by playing with the video cable.",amazon,B001IA3SZ0
Great quality and low price!,amazon,B00EL94Z4I
This is a notorious fault of the cmos chips.,amazon,B00P8N7N0Y
This cord is exactly what we needed to be able to hook out the playstation to the tv with our hdmi cable!,amazon,B07TNH8T1F
"Lasted for one week then, no matter what we tried, the iPhone app could not recognize the camera.",amazon,B004P8K24W
"In some instances, such as within Mesh WiFi networks extenders / repeaters can slow down the entire network and are thus not advised.",amazon,B08B3WRNYX
Haven't had a bad one in batch.,amazon,B00KB4YVF0
USB 3.0 rather slow writing (USB A port on PC).,amazon,B01INV1Z4M
This is a great case for my grandson kindle it covers the whole table to keep it protected,amazon,B0773GR7PL
"Even sitting right next to it, my xfinity still had faster download speed than this.",amazon,B01DRM6MLI
Had to use this for the first time &amp; it was the easiest process every.,amazon,B008I649P0
Exactly as described and fit my need almost perfectly.<br />The only bad part is the part that plugs into the outlet<br />needs to click into the power box so that it won't slide out<br />so easily.,amazon,B06Y41XM9Z
"64 bit architecture is the current standard, and most current software runs best on it.",amazon,B07GLV1VC7
Nearly perfect.<br /><br />The black border that goes around my screen is just a bit thinner than the cam cover is long.<br /><br />No biggie.,amazon,B00JY8C606
"To me, as long as they work it isn't a problem - just letting you know what they came with!  : )<br /><br />Plus side - they give you a 24 month warranty...",amazon,B00Q7DFWFM
No problem filling it is or accessing and playing directly the streamable files stored on it.,amazon,B01LQQHIEC
"It can get warm, but nothing too concerning.",amazon,B07SYRW97F
The clip is a nice touch.,amazon,B001G23JZ4
"I don't use it for ordering, tho you can...",amazon,B01DFKC2SO
"It is very well made.<br /><br />It would also make a nice gift, perhaps for someone graduating college.",amazon,B09SKSS5MZ
This thing was just so tiny I had to have it.,amazon,B000GAO9T2
Last month I added the Sonos One in a different room.,amazon,B0792SBYZ8
I wish it would like of lock but I haven't had it fail yet,amazon,B002RCLYXG
"It would be super if I can just put it on a flat surface and USE it while it sits on the hard surface of, say a coffee table or nightstand.<br /><br />At this stage, I'd give zero stars if possible.",amazon,B01H0GVCPI
I have a power strip tower by a different brand that is very easy to use and does not require you to lift the tower to remove or plug in a power cord.,amazon,B08C4Y196Y
Does what it says…great for kitchen our outdoor kitchen.,amazon,B07FQDMKFT
The chose of colors were a like for me as I needed to order 2 (one for my husband) and need to be able to tell them apart.,amazon,B013KVTATW
There is one room in particular that currently needs a low profile cable to run around the base board on the walls just based on the position of the Ethernet port in the wall.,amazon,B01A6JCY9Y
The ease of installation and setup of the system is quite remarkable!,amazon,B01LR8PG6Q
We also purchased but will return the iLive Blue IKB333S.,amazon,B00ITT9U78
"I tried one that had a strap across the back of the unit, but the strap interfered with the mounting clip on the back.",amazon,B01N4M9C33
Purchased extended warranty and going that route but am not happy with the added hassle of dealing with this.,amazon,B0175A7FUA
I plugged it in and it works.,amazon,B06XH46MWW
The only minor problem is that the top of the sticker is the slightest bit too tall so it wraps around.,amazon,B00QKDJHUU
Doesn't come with power cord.,amazon,B00W9FLKTY
The only problem I have is that the rubber pads on top designed to keep the laptop in place keep moving out of their spots.,amazon,B003ZUXXWO
"I have denon 5.1 receiver, no issue with hook up.",amazon,B00O8YLL8E
"works, but cheaply made, and the button is a bit hard to push.",amazon,B018E62O4G
So avoid wireless connections like the plague and when you absolutely MUST use wireless then think about using wireless repeaters and range extenders rather than the built in wireless devices like these IP cameras come with.,amazon,B00AEMS0JC
You can even click to maximize the video to the full Lorex screen.,amazon,B08X24P49L
I sole computers and related accessories for over a decade and this is an excellent piece of equipment at a great price.,amazon,B008U4SBVS
"Now the bad part: I am not technically, computer inclined.",amazon,B0032AN4N0
"To me, the Kindle Fire is the perfect tablet except for two things.",amazon,B0051VVOB2
So nice to have the football game on and not hear it!!,amazon,B0001FTVEK
"So, a bit of research lead me to these.",amazon,B06WLJLMR4
"I also thought it would be nice to have the unit plugged directly into the wall, vs. a box sitting on the floor.<br /><br />Unfortunately, the ISOBLOK2 does NOT filter the treadmill interference for some reason, where the ISOBAR4ULTRA DOES.",amazon,B0000510R4
Perhaps the coming 5G will solve the problem in the future but not for those of us who have already purchased.,amazon,B07XTZ3Y5V
"My problem with it is the aluminum cowling on the Lightening end of the cord has already become unglued and it easily slides off, and if I don’t find some glue soon I’m going to lose it.",amazon,B0739QQJLT
Thank goodness I only paid about $30.,amazon,B015ZL27I6
My grandson picked it out and I purchased it.,amazon,B088NF2T1Q
I had it less than 30 days though and I now have a sound problem.,amazon,B000OOG3KI
"Overall, this is just what you'd expect from the product - it works great and is a good solution to not having enough USB ports.",amazon,B005A0B3MO
I have a USB hub on top of my desk and it hasn't been a problem.,amazon,B003FO0LG6
"This is not a lens for bokeh, but it will still have out-of-focus elements.",amazon,B0037KM0XA
"It definitely improves the viewing experience.<br /><br />Some things to be aware of - This unit plays from other bluetooth devices, but only has the subwoofer out bluetooth.",amazon,B00MIYEJ9Y
I hope you always win.,amazon,B09KTY7L4M
I wanted to go back to air cooling and thought I'd try this.,amazon,B00L7UZMAK
Icould take it for my travels,amazon,B0BKRKTWQG
"I had a little issue, small issue, attempting to insert into the CD player.",amazon,B01MYHD29Y
"Set up the camera, download the app.",amazon,B07VBKHZL1
In March 2015 the camera's battery door was broken so I sent it in for repair (they use a company called United Camera).,amazon,B00CV9MKJ2
"Well, everything but mostly she is a nature ""nut."" We have had almost no trouble with this camera.",amazon,B01C3LE44G
I’m pleased to have such an amazing product for my studio.,amazon,B00IM6LKQM
Bought my 6th one recently for me and people around me.,amazon,B07FVBYTNP
"Sound quality is poor, with flat highs and lows.",amazon,B00005QBU9
"Perhaps my PC was the problem, but I haven't ever had problems before.",amazon,B002SQE1O0
Also the small rubber strips help to hold it firmly in place.<br /><br />For the price I think it's a pretty good deal.,amazon,B004VVLZN0
